The data were extracted from the website http://www.fundamentus.com.br in October 2016.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
ASSETS;P/L;P/VP;P/EBIT;PSR;P/Ativos;P/Cap. Giro;P/Ativ Circ Liq;Div. Yield;EV / EBIT;Giro Ativos;Cres. Rec (5a);LPA;VPA;Marg. Bruta;Marg. EBIT;Marg. Líquida;EBIT / Ativo;ROIC;ROE;Liquidez Corr;Div Br/ Patrim;N. AÇÕES
RAPT4;-58,47;1,11;19;0,53;0,34;0,84;30,5;0;26,6;0,63;-0,05;-0,08;4,29;0,2;0,03;0;0,02;0,03;-0,02;2,89;1,6;345.776.000
RENT3;21,24;4,2;11,56;2,19;1,38;16,98;-3,98;0,02;13,72;0,63;0,08;1,93;9,79;0,32;0,19;0,1;0,12;0,18;0,2;1,33;1,49;211.793.000
RLOG3;-12,67;1,01;1,44;0,33;0,07;-6,45;-0,12;0;8,31;0,22;1,66;-0,36;4,56;0,3;0,23;-0,08;0,05;0,05;-0,08;0,91;4,89;366.491.000
RSID3;-0,11;0,07;-0,32;0,09;0,01;-0,19;-0,04;0;-9,39;0,14;-0,29;-36,07;56,03;0,04;-0,29;-0,87;-0,04;-0,04;-0,64;0,86;2,1;17.153.300
SANB11;17,32;1,42;0;0;0;0;0;0,04;0;0;0,03;1,29;15,83;0;0;0;0;0;0,08;0;0;7.563.080.000
SBSP3;0;0;0;0;0;0;0;0,01;0;0;0,02;0;0;0;0;0;0;0;0;0;0;683.510.000
SEER3;13,03;2,58;9,54;2,22;1,18;6,58;-5,97;0,01;10,02;0,53;0,85;1,43;7,22;0,52;0,23;0,17;0,12;0,14;0,2;2,09;0,41;125.213.000
SMLE3;15,01;14,56;13,86;4,86;3,77;233,67;-33,34;0,01;13,02;0,77;0,43;3,66;3,78;0,45;0,35;0,32;0,27;0,38;0,97;1,03;-;123.616.000
SMTO3;41,78;2,46;18,16;3,13;0,95;25,36;-2,84;0,01;24,79;0,31;0,43;1,46;24,73;0,28;0,17;0,08;0,05;0,06;0,06;1,16;1,08;113.329.000
SULA11;7,83;1,22;682,68;0,36;0,29;0,91;-4,91;0,03;-579,27;0,79;0,13;2,16;13,84;0,05;0;0,05;0;0;0,16;1,79;0,19;1.022.200.000
SUZB5;7,75;1,03;3,23;1,04;0,4;3,17;-1,06;0,04;6,14;0,38;0,23;1,32;9,9;0,4;0,32;0,13;0,12;0,14;0,13;2,13;1,17;1.107.740.000
TAEE11;7,9;1,71;5,59;4,77;0,85;5;-3,03;0,13;8,12;0,18;0,09;2,69;12,46;0,93;0,86;0,6;0,15;0,16;0,22;4,2;0,82;1.033.500.000
TBLE3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TCSA3;4,94;0,27;-6,62;0,55;0,12;0,61;19,5;0,07;-25,54;0,22;-0,12;0,5;9,12;0,14;-0,08;0,13;-0,02;-0,02;0,06;1,54;0,84;173.500.000
TIMP3;19,66;1,21;9,05;1,28;0,63;6,63;-3,05;0,02;10,13;0,49;-0,03;0,43;6,93;0,52;0,14;0,07;0,07;0,09;0,06;1,52;0,37;2.421.030.000
TOTS3;32,96;4,05;5,8;2,38;1,98;11,06;-23,12;0,03;6,32;0,83;0,11;0,91;7,44;0,6;0,41;0,07;0,34;0,4;0,12;1,73;0,61;165.638.000
TRPL4;20,51;2,01;19,23;8,48;1,48;26,62;-11,4;0,03;20,36;0,18;-0,19;3,29;33,52;0,59;0,44;0,43;0,08;0,08;0,1;1,93;0,19;164.721.000
UGPA3;25,84;4,75;13,27;0,51;1,94;5,95;-16,74;0,02;15,15;3,83;0,11;2,77;15,06;0,09;0,04;0,02;0,15;0,19;0,18;3,2;1,06;556.405.000
USIM5;-1,74;0,35;-5,27;0,52;0,17;5,19;-0,86;0;-10,38;0,33;-0,07;-2,13;10,47;-0,02;-0,1;-0,33;-0,03;-0,04;-0,2;1,15;0,55;1.253.080.000
VALE3;-3,26;0,77;5,34;1,07;0,3;4,52;-0,74;0,02;10,19;0,28;-0,03;-5,71;24,1;0,22;0,2;-0,34;0,06;0,06;-0,24;1,58;0,81;5.244.320.000
VALE5;-2,93;0,69;4,79;0,96;0,27;4,05;-0,66;0,02;9,64;0,28;-0,03;-5,71;24,1;0,22;0,2;-0,34;0,06;0,06;-0,24;1,58;0,81;5.244.320.000
VIVT4;19,09;1,09;12,42;1,76;0,73;-180,55;-5,05;0,03;12,91;0,42;0,06;2,3;40,4;0,49;0,14;0,09;0,06;0,07;0,06;0,98;0,13;1.690.980.000
VLID3;25,07;2,04;9,68;1,09;1,03;11,15;-10,44;0,03;12,15;0,95;0,18;1,2;14,71;0,25;0,11;0,04;0,11;0,12;0,08;1,31;0,65;64.750.000
VVAR11;-10,52;0,73;3;0,17;0,22;3,12;-2,03;0;4,29;1,32;-0,04;-0,68;9,8;0,33;0,06;-0,02;0,07;0,1;-0,07;1,13;0,71;1.290.920.000
WEGE3;24,21;5,04;22,06;2,86;2,2;5,2;20,45;0,02;22,17;0,77;0,16;0,74;3,53;0,28;0,13;0,12;0,1;0,15;0,21;2,77;0,73;1.614.350.000
